,text,DA
20990,"{C And } I get into, {F uh, } newspapers,  /{C so } I guess that kind of tells you what kind of person I am.  /I'm, [ re-, + read ] it fast and put it down <laughter>. /",S
20992,Right. /,B
20993,"-- if something caught my eye, then I might read something,  /{C but } otherwise than that, {D you know, } they were, <breathing> {F uh, } {D you know, } not too useful to me.  {D You know } -- /",%
20998,-- <Laughter> use them. /,%
21002,"{C But, }  {F uh, } that's mainly my, {F uh, } whole idea on --",S
21004,"-- {D you know, } short subject, {F uh, } reading and things like this.  /[ I, + I ] subscribe, like I said, to a few  /{C and } once in a while I buy that new magazine called FIRST on the newsstands --",%
21006,"-- or something like that.  /{C But } I kind of stay with my own subject matter what, {F uh, } pertains to my daily life --",%
21008,-- at the present time. /,%
21011,Uh-huh. /,B
21012,-- I know that people will read them on something like that. /,%
21014,"{C But } I think, - /{C and } the idea [ is to, + ] is [ and + ] good,  /I can just dump them at the other end <laughter>,  /{C and } I don't have to carry them back with me. /",S
21018,"-- drive or wherever we, - /no matter what it is, air travel or  anything  and I, -/",%
21020,"Right,  /[ al-, + although ] now, -/",B
21021,"-- to read on the airplane.  /{C But, }  {F uh, } {D you know, } that's basically just about <breathing>, - /I'll buy a crossword puzzle magazine every now and then <laughter>. /",%
21024,"-- {C and } I tried, {F uh, } reading the magazines hoping I would get more from it  /{C and } it was just above my head without having someone there to give me the advice as I went along. /",S
21026,"It was, {D you know, } kind of a little bit more than what I needed,  /{C so } I never did get into them.  /[  I + <breathing>, when I ] bought the computer, all of a sudden I was receiving them, for some unknown reason, through the mail.  /I think they all [ that-, + ] thought, {D well, } we have a live one <laughter>.  She'll subscribe <laughter>. /",S
21028,"{C But } they were wrong.  /I never got into them.  /[ {C But, } + {C but, } ]",S
21030,"Okay?  /{D All right, } I guess we might as well end our conversation at this point. /",%
21063,"{D Well, } {D see, } I don't, - /I never, {F uh, } returned to work for the p-, - /I have stayed home for about the last nine years. /",S
21069,"-- and things like that.  /{C But, }  {F uh, } just when I thought I really enjoyed my hobby, yours sounds great <laughter>. /",%
21091,"-- once you get into [ a, + a ] class again. /",%
21104,"-- {C so } [ I, + I ] manage it <laughter>. /",S
21110,-- that we have to balance to --,%
21112,"-- {D you know, } get things together for them,  /{C and } I really just keep very good records,  /{C and } most of our expenses are fairly the same every month with the exception of utilities and things like that,  /{C and } --",%
21114,-- I try to keep my MasterCards and things paid currently -- /,%
21116,"-- {F uh, } I don't always succeed at that.  /I usually keep one with a low interest rate,  /{C and } I put things on there that I think I'm not going to get to <laughter> -- /",S
21118,"-- {C and then } I have another one,  /{C but } for the most part, our mortgage and our utilities at this point, {A we're in a new home,  and, } {F uh, } they take a pretty big chunk compared to what they used to -- /",S
21120,"-- {C so } I'm still getting used to that,  /{C but } we make sure that we just do not buy unless we really can see how we're going to pay for it ahead -- /",S
21122,"-- {C and } we do not buy us, new cars.  /{F Uh, } do you get into car, -/",S
21126,"-- look, you guys are all into car payments,  /we haven't had car payments for so many years,  /I love it this way,  /{C and } recently we just created the laugh among everyone because we had a car that we really liked  /{C and } it has eighty-two thousand miles on it -- /",%
21142,"This is for all the long running back and forth on, {D you know } interstate driving and things,  /{C and } we intend to replace our other one with a much newer car in the next couple of years, or next year probably. /",S
21146,"-- {F uh, } unless [ we, + we ] have done that when we had a really good one that we wanted to sell -- /",%
21148,"-- {D you know, } we were going up to a larger one,  /{C but } we have found that by trading in and going through a dealer, [ and + ] we always make a deal.  /I mean, we have walked out of more dealerships saying, don't bring us the manager, and  all of that unless you want to bring him right away.  /You're going to get one shot at us -- /",S
21150,"-- we will, <laughter> {D you know, } - /{C and } they say, {D Well, } you're kidding, {D you know. }  /I s-, - /no, /",S
21169,-- {C and } I have a special interest in Voice I O. /,S
21178,"{D Well, } that was one of the things I was thinking about in school, {F um, }  /I went to Texas Tech out in Lubbock --",S
21180,"-- {C and, }  {F uh, } I had a friend,  my roommate went to Tech also,  /{C but } she was from New Mexico -- /",%
21182,-- {C and } she had to pay out of state tuition -- /,S
21188,"-- {C and so } I was going to school for, {D you know, } just a few hundred dollars a semester,  /{C and } she was paying forty dollars an hour -- /",S
21194,"-- try to find a school within the state that, {F um, } I liked well enough to attend. /",%
21196,Uh-huh. /,B
21197,"-- [ and, + ] {F uh, } whereas like State, they offer engineering courses -- /",%
21199,"-- {C so } depending on what your major is, or medical, you might want to  [ atteck-, some, +  {F um, } attend somewhere ] like Tech -- /",S
21201,"-- {C and, }  {F um, } aside from the, {F uh, } - /{D well } some schools may even give you financial aid, where another one won't. /",%
21203,"{F Oh, } really. /",B
21204,"-- {C and, }  yeah,  /it was so nice -- /",%
21206,"-- it paid most of my tuition, and, {F um, } a lot of the book costs and that kind of thing  /{C so. } -/",S
21214,"-- {C and } it was from the government,  /{C and } [ it was based, + at first it was based ] on my parents' income.  /My parents had five children and really didn't make enough money to send any of us to school. /",S
21216,"{C And so, } {F uh, } because based on the number of children and the amount of money, {F uh, } my father brought in, I got a small grant -- /",S
21218,"-- {C but } then after that, I was on my own, working and, {D you know, } trying to go to school on my own.  /{C So then } I got a real big grant, because the --",S
21222,"{C So, }  it was kind of nice. /",S
21227,Uh-huh. /,B
21228,"-- I went to school about three years of my four for almost nothing,  /{C so } that was, -/",%
21233,"-- {C and, }  {F uh, } something that might play a part is the size of the college. /",S
21235,"{F Uh, }  ((   ))  the smaller schools can give you [ a lot, + {F uh, } a lot ] more specialized instruction --",S
21237,-- and attention than the larger schools -- /,%
21239,"-- in the larger schools you get caught up in the bureaucracy,  /[ {C and } -- +",S
21241,"-- {C and } ] they just give you a teacher's assistants, {D you know } -- /",%
21243,-- instead of a scholar you get a T A -- /,S
21248,"{F Um. }  {D Well, } I guess the only comparison I had ever heard was between [ a, + a ] Christian college, because I thought about attending Abilene Christian --",S
21250,-- instead of Texas Tech -- /,%
21252,-- {C and } of course the price was just astronomical compared to Tech -- /,S
21259,"-- {F um, } I'd rather go to any other college, {D you know, } in the state,  /{C and } I would definitely get my money's worth, {F uh, } much better than State. /",S
21261,"It's kind of unfortunate, because [ they've, + they've ] just grown so big that they just don't care about the students any more. /",S
21263,"Yeah,  /[ they're, + they're ] bent on, {F uh, } seeing [ how much land, + how much more land ] they can get, and [ how much, + {F uh, } how much ] of the campus they can build up -- /",B
21264,Right. /,B
21265,"-- {C and, }  {F uh } -- -/",%
21267,"-- yeah,  /it's really a bad situation here. /",%
21285,"-- about wives that refused to go to work, and how their husbands thought they were terrible,  /{C and } one woman had four children, /",%
21289,-- that's frightening -- /,S
21291,"-- {C and, } [ it, + {D you know, } it ] was almost from the audience participation it was almost a social issue, {D you know } -- /",S
21295,-- home and raising them. /,%
21302,Uh-huh. /,B
21319,-- {C and } I have a tendency to work late.  /I work until six -- /,S
21321,-- {C so } he stays with me until five thirty and then goes home -- /,S
21325,"-- I'm a slow mover to say the least,  /{C but, }  {F um, } they'll come in and say, Can I stay with you because I don't want to go home to an empty house.  /{C And } that's frightening, because, {D you know, } the, - /when I said [ [ I, + I'm, ] + I'm ] raising them, I am, - /because we're talking about boy friends  /{C and } we're talking about what the girl said in class,  /{C and, } {D you know, } what's right --",S
21327,-- because there's no mother at home -- /,%
21335,"-- their life-style is.  /{C And } they're back to work,  /{C and, }  {D you know, } I agree with you,  /I was raised in a generation we didn't need all those things -- /",%
21345,"They really don't have enough <laughter> to keep them busy to keep their noses [ at, + ] in their own business of what they're doing. /",S
21347,"{C And } the other thing is, {F uh, } besides that I think, {F uh, } two things that very definitely need looking at, one is foreign aid.  /I have a real problem with all the foreign aid that is going to the countries that really have no use for us. /",S
21349,"I find that a total waste and part of the defense budget.  /{F Uh, } again being just a voter and a taxpayer, {D you know, } working through our congressman, I don't think there's too much that I'm going to be able to do about it,  /{C but } I believe in taking an active part in politics,  /{C so. } -/",S
21351,Uh-huh. /,B
21352,"-- paying such a large proportion [ of, + of ] our personal income  /{C and  then } the, {F uh, } corporate, {D you know, } industries just don't seem to not pay proportionally. /",%
21354,"I think that that [ would, + would ] help a lot.  /I guess in a way it would trickle down to us in the prices of things,  /{C but } <breathing> I don't know.  It's just [ hard to, + <breathing> hard to ] take and, {D you know, } see so much of our paycheck go out and then realize that they have all the loopholes that they can use. /",S
21356,"{C And, }  {F uh, } seems like some rather large chunks of money could come [ from, + from ] that direction.  /{C But, } -/",S
21358,Yeah. /,B
21359,"{E I mean } this nonsense that's coming through now about, {F uh, } {F uh, } lowering payments on Social Security and a few other things that Bush has in mind in order [ t-, + to ] boost the economy because people have [ n-, + ] more money as [ it's, + [ gets, + ] it's ] ridiculous. /",S
21361,"If they don't have that money now, bringing in less is not going to help the problem --",S
21377,"Really.  /If they were to take half of what they spend on that and put it on some economic, {D you know, } [ inter-, + intergovernmental ] or inter United States like programs that one really might. /",B
21378,Yeah. /,B
21379,"[ I, + I ] believe in paying my share,  /{C and } I don't mind, {F uh, } paying for some of these fringe benefits that people are entitled to.  /{C But } [ I just, + I just ] sometimes feel like I'm being used.  /{C But, }  {F uh, } again I don't think we'll be able to do anything about it,  /{C so. } -/",S
